commit,url,file_list
5e5e51b2ae1ae7014d8e314e427fa1b79d952dcf,https://gerrit.ericsson.se/#/c/12171526/,"bbpc/bbpcMiAgentMe/BUILD
bbpc/bbpcMiAgentMe/api-private/common/bbpcmiagentme_common_data.h
bbpc/bbpcMiAgentMe/api-private/common/bbpcmiagentme_common_debug.h
bbpc/bbpcMiAgentMe/api-private/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_trans_v2.h
bbpc/bbpcMiAgentMe/body/cellAdmin/bbpcmiagentme_celladmin_cellactivate.c
bbpc/bbpcMiAgentMe/body/cellAdmin/bbpcmiagentme_celladmin_cellsetup.c
bbpc/bbpcMiAgentMe/body/cellAdmin/bbpcmiagentme_celladmin_createtrdata.c
bbpc/bbpcMiAgentMe/body/cellAdmin/bbpcmiagentme_celladmin_ess_cellresource.c
bbpc/bbpcMiAgentMe/body/cellAdmin/bbpcmiagentme_celladminactor_handlenrcellmirsp.c
bbpc/bbpcMiAgentMe/body/common/bbpcmiagentme_common_debug.c
bbpc/bbpcMiAgentMe/body/commonTransV2/bbpcmiagentme_common_trans_v2.c
bbpc/bbpcMiAgentMe/body/e5lcfgAdmin/bbpcmiagentme_e5lcfgadmin_createtrdata.c
bbpc/bbpcMiAgentMe/body/e5lcfgAdmin/bbpcmiagentme_e5lcfgadminactor_handlenre5lcfgmirsp.c
bbpc/bbpcMiAgentMe/body/l1BpAdmin/bbpcmiagentme_l1bpadmin_createtrdata.c
bbpc/bbpcMiAgentMe/body/l1BpAdmin/bbpcmiagentme_l1bpadminactor_handlenrl1bpmireq.c
bbpc/bbpcMiAgentMe/body/l1BpAdmin/bbpcmiagentme_l1bpadminactor_handlenrl1bpmirsp.c
bbpc/bbpcMiAgentMe/body/rcfgAdmin/bbpcmiagentme_rcfgadmin_createtrdata.c
bbpc/bbpcMiAgentMe/body/rcfgAdmin/bbpcmiagentme_rcfgadminactor_handlenrrcfgmirsp.c
bbpc/bbpcMiAgentMe/body/scciAdmin/bbpcmiagentme_scciadmin_createtrdata.c
bbpc/bbpcMiAgentMe/body/scciAdmin/bbpcmiagentme_scciadmin_dlstartpowerinjection.c
bbpc/bbpcMiAgentMe/body/scciAdmin/bbpcmiagentme_scciadminactor_handlenrsccimirsp.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_bearerconfig.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_bearerrelease.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_bearersetup.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_bearersuspend.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_finalizeultunnelmodify.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_legrelease.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_legsetup.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_prepareultunnelmodify.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_ueinactiverelease.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_ueinactiveresume.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_ueinactivesuspend.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_uerelease.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_ueresume.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_ppuemi_uesetup.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uecommi_uebbprofiletableconfig.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_drbactivate.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_drbdeactivate.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_drbmodify.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_drbrelease.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_drbsetup.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_scellsconfig.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_srbactivate.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_srbdeactivate.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_srbrelease.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_srbsetup.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_ueactivate.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_uedeactivate.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_uemodify.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_uerelease.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmin_uemi_uesetup.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmintor_handlenrppuemirsp.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmintor_handlenruecommirsp.c
bbpc/bbpcMiAgentMe/body/ueAdmin/bbpcmiagentme_ueadmintor_handlenruemirsp.c
bbpc/bbpcMiAgentMe/body/xbmAdmin/bbpcmiagentme_xbmadmin_createtrdata.c
bbpc/bbpcMiAgentMe/body/xbmAdmin/bbpcmiagentme_xbmadminactor_handlenrxbmmirsp.c"
662793a1edcf7472a82f0294537b2cc0287ca3ff,https://gerrit.ericsson.se/#/c/12259285/,"bbue/nr/l2NrLib/api/common/nrupcommon_emcache.h
bbue/nr/l2NrLib/body/common/nrupcommon_emcache.c"
000b9b9921748b3f96fc21068d16bb7dd7f4edc3,https://gerrit.ericsson.se/#/c/12269414/,bbue/nr/upcUeDlNrCe/body/session/upcuedlnrce_session_harqrpt.c
0e7685d9b3a8fd45e226c8768f2ce5fbbc7ada29,https://gerrit.ericsson.se/#/c/12123217/,"bbSfm/nr/bbSfmNrMiIf/api/ppUe/NrPpUeMiDrbHighRateIndS.h
bbSfm/nr/bbSfmNrMiIf/api/ppUe/nrPpUeMi.ifx
bbSfm/nr/bbSfmNrMiIf/api/ppUe/nrPpUeMi.sig
bbSfm/nr/bbSfmNrMiIf/api/ppUe/nrPpUeMiP.cig
bbSfm/nr/bbSfmNrMiIf/mdl/bbSfmNrMiIf.emx"
57a09835a21ce4c0687948f37a55528689dcafde,https://gerrit.ericsson.se/#/c/12127122/,"bbdra/draCtrlNrMdbfCe/api-private/rrmlib/dractrlnrmdbfce_dimensionpucch.h
bbdra/draCtrlNrMdbfCe/body/rrmlib/dractrlnrmdbfce_dimensionpucch.c"
e23c8dec544ee5a4a02e8175ceae823962466f02,https://gerrit.ericsson.se/#/c/12274785/,"bbdra/draNrAbfCe/api-private/ulAlloc/dranrabfce_ulalloc_rasr.h
bbdra/draNrAbfCe/api-private/ulAlloc/dranrabfce_ulalloc_ulsr.h
bbdra/draNrAbfCe/body/ulAlloc/dranrabfce_ulalloc_allocateuplink.c
bbdra/draNrAbfCe/body/ulAlloc/dranrabfce_ulalloc_rasr.c
bbdra/draNrAbfCe/body/ulAlloc/dranrabfce_ulalloc_ulsr.c"
e41b4de4857541580843c1f3e14fea0c523dcff2,https://gerrit.ericsson.se/#/c/12257574/,"bbue/nr/upcUeAbfCe/api-private/ra/UPCUEABFCE_raActor.h
bbue/nr/upcUeAbfCe/body/ra/upcueabfce_raactor_handlenrpuschciull1puschrpt2ulind.c
bbue/nr/upcUeAbfCe/body/ra/upcueabfce_raactor_handlenrsrabfcirafailind.c
bbue/nr/upcUeAbfCe/body/ra/upcueabfce_raactor_handlenrsrabfciramsg3retxfailind.c
bbue/nr/upcUeAbfCe/body/ueUl/upcueabfce_ueulactor_ulsr_util.c"
f81a37af4c8af31c918224745fb49701d493e37e,https://gerrit.ericsson.se/#/c/12261367/,bbdra/draCtrlNrMdbfCe/body/pucchAlloc/dractrlnrmdbfce_pucchalloctor_pucchallocator.c
fcf0cb7560f656f8b31fae5ca66823a67188632e,https://gerrit.ericsson.se/#/c/12223271/,"bbdra/draCtrlNrMdbfCe/api-private/pucchAlloc/DRACTRLNRMDBFCE_pucchAllocTor.h
bbdra/draCtrlNrMdbfCe/body/pucchAlloc/dractrlnrmdbfce_pucchalloctor_prepucchallocator.c"
e0e9cb80a240982fb650d621c31a821efaba647c,https://gerrit.ericsson.se/#/c/12270437/,bbdra/draCtrlNrMdbfCe/body/pdcchAlloc/dractrlnrmdbfce_pdcchalloctor_cceallocator.c
d519e2ab2ff2ad589943f7317f5f12e50405c247,https://gerrit.ericsson.se/#/c/12121323/,"bbdra/draDlNrMdbfCe/api-private/common/dradlnrmdbfce_common_pdschalloctor_data.h
bbdra/draDlNrMdbfCe/body/pdschAlloc/dradlnrmdbfce_pdschalloctor_signalhandlerphase3.c"
99d376bf165718588b2b5c62e08fe1de8895447c,https://gerrit.ericsson.se/#/c/12046469/,"bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_cellpps.h
bbdra/draCtrlNrMdbfCe/body/xbmParallel/dractrlnrmdbfce_xbmparalleltor_handlecellsetuprequest.c"
ae99685ae9fffc1b0db88321719584ea5e1b8252,https://gerrit.ericsson.se/#/c/12284255/,bbue/nr/upcUeUlNrCe/api-private/ue/upcueulnrce_ueactor_ueadmin.h
934af3cd21c88cee21a7e4794439fac3d8e89c28,https://gerrit.ericsson.se/#/c/12278203/,bbue/nr/upcUeDlNrCe/body/session/upcuedlnrce_session_handlepdcchueconfigcfm.c
7d14fc01b5abacd87eb63a821000747da0baebb8,https://gerrit.ericsson.se/#/c/12226117/,"bbSfm/nr/upcNrLib/api/core/upcnrlib_core_rejectcause.h
bbSfm/nr/upcNrLib/body/core/upcnrlib_core_rejectcause.c"
24322b616e4d6d141c6af920bd7bca9b68440ecf,https://gerrit.ericsson.se/#/c/12284411/,"bbSfm/nr/bbSfmNrMiIf/api/rpUpcFr2SysConstDef/rpUpcFr2SysConstDef.h
bbSfm/nr/utils/constants_definition/xml/rp_bb_upc_fr2_system_constant_definitions.xml
bbue/nr/upcUeAbfCe/api-private/common/upcueabfce_common_srweights.h
bbue/nr/upcUeAbfCe/body/xbm/upcueabfce_xbmtor_uesetupandactivate.c"
bed98de8cc9aa8fb1510ac57745e5dde04ce8856,https://gerrit.ericsson.se/#/c/12288553/,bbue/nr/l2NrLib/body/common/nrupcommon_emcache.c
